1.0668,1,-40.793,-67.898,-66.372,-73.454,-64.168,-68.637,-69.947,27.106,25.58,32.662,23.375,27.844,29.154
1.0668,2,-40.793,-65.52,-70.054,-71.402,-79.614,-72.532,-67.088,24.728,29.261,30.609,38.822,31.739,26.296
1.0668,3,-40.793,-69.18,-65.606,-65.579,-66.248,-64.069,-63.051,28.388,24.813,24.787,25.455,23.276,22.258
2.4384,1,-47.973,-74.337,-81.019,-77.047,-75.917,-74.85,-73.218,26.364,33.046,29.074,27.944,26.877,25.245
2.4384,2,-47.973,-77.705,-77.772,-79.734,-72.253,-78.972,-79.058,29.732,29.799,31.761,24.28,30.999,31.085
2.4384,3,-47.973,-78.496,-79.081,-76.136,-78.613,-73.897,-75.317,30.523,31.108,28.163,30.64,25.924,27.344
3.4747,1,-51.049,-90.588,-91.774,-78.903,-84.853,-76.665,-77.955,39.539,40.724,27.854,33.804,25.615,26.906
3.4747,2,-51.049,-72.093,-77.335,-82.069,-74.963,-67.28,-67.026,21.043,26.285,31.02,23.914,16.23,15.977
3.4747,3,-51.049,-68.691,-76.384,-78.149,-80.285,-67.088,-67.543,17.642,25.335,27.1,29.235,16.038,16.494
3.9624,1,-52.19,-81.423,-72.374,-73.706,-86.664,-73.598,-72.247,29.233,20.184,21.516,34.474,21.408,20.057
3.9624,2,-52.19,-79.886,-87.366,-79.8,-89.046,-78.009,-86.285,27.696,35.176,27.61,36.856,25.819,34.095
3.9624,3,-52.19,-67.389,-68.688,-65.837,-69.956,-68.803,-72.172,15.198,16.498,13.647,17.766,16.612,19.982
5.9741,1,-55.756,-78.524,-74.551,-80.059,-73.436,-73.639,-84.364,22.768,18.795,24.303,17.68,17.882,28.607
5.9741,2,-55.756,-71.233,-70.626,-72.849,-73.138,-66.567,-67.997,15.477,14.87,17.092,17.382,10.811,12.241
5.9741,3,-55.756,-67.428,-69.967,-75.502,-75.732,-68.626,-74.438,11.672,14.211,19.746,19.975,12.869,18.682
7.3152,1,-57.515,-76.377,-80.297,-78.498,-74.886,-93.943,-77.35,18.861,22.781,20.983,17.37,36.428,19.835
7.3152,2,-57.515,-72.592,-75.519,-76.435,-79.907,-81.463,-83.115,15.077,18.004,18.919,22.392,23.948,25.599
7.3152,3,-57.515,-96.443,-73.425,-79.312,-73.612,-87.006,-76.72,38.928,15.91,21.796,16.096,29.49,19.205
8.5649,1,-58.885,-79.418,-89.93,-76.591,-83.787,-82.816,-82.233,20.532,31.045,17.706,24.901,23.93,23.348
8.5649,2,-58.885,-82.233,-75.925,-81.759,-90.821,-80.424,-77.148,23.348,17.04,22.874,31.936,21.538,18.262
8.5649,3,-58.885,-75.414,-87.329,-77.888,-78.643,-77.966,-87.116,16.529,28.443,19.003,19.757,19.081,28.23
